,1e6_50Mb,2e6_50Mb,3e6_50Mb,4e6_50Mb,5e6_50Mb,1e6_100Mb,2e6_100Mb,3e6_100Mb,4e6_100Mb,5e6_100Mb,1e6_200Mb,2e6_200Mb,3e6_200Mb,4e6_200Mb,5e6_200Mb
0,77.64282770000864,179.63335699995514,230.23984719999135,343.7499600999872,423.4201375999837,75.93955379998079,173.95170759997563,254.86329439998372,330.529352499987,392.6764542000019,92.2530984999612,165.6939268000424,277.6393445000285,314.8223887999775,584.8495442999993
1,72.61392149998574,181.0281139999861,263.9906612999621,356.80779799999436,446.1329022999853,75.12469440000132,146.49259350000648,276.3649019000004,364.99122720002197,399.3250003999565,77.56702189997304,148.08592010004213,263.07223229995,354.87091160001,387.43043459998444
2,70.11137739999685,184.03285519999918,294.038197899994,348.7073199999868,482.82663069997216,77.93682020000415,174.49476670002332,235.45707329997094,306.8637148999842,406.5505961999879,74.44273750000866,178.64667540002847,249.88364100002218,481.4084319000249,396.05889760004357
3,81.93802689999575,169.1525683000218,229.7734829999972,358.95320299995365,454.1488188999938,64.41976179997437,174.47186769999098,228.89124909997918,318.7389976999839,467.2518087000353,90.11638339998899,165.62580599996727,214.69519460003357,346.3172976000351,370.40294540004106
4,81.39597090001917,179.43859279999742,234.41665630001808,360.4629126000218,448.3900854999665,68.80955529998755,167.84331939998083,265.9424035999691,314.8192218999611,380.4535507999826,75.96512479998637,166.89501849998487,256.85937560000457,373.12022169999545,421.4153765999945
5,79.5875359000056,162.72084680001717,242.5002392999595,328.1800843999954,455.24361139995744,72.51941160002025,170.0330126999761,273.7956803999841,320.2541406999808,459.5114398000296,81.4656568999635,148.94447279995074,246.97019080002792,350.0769175000023,391.9735294000129
6,85.30113890004577,188.09864710003603,248.51294749998488,360.8818011999829,479.57706929999404,74.97351540002273,159.52908700000262,254.10992680001073,346.2119941000128,407.9319478000398,81.86529510002583,169.2964384999941,239.35236730001634,298.1179124999908,481.0353388999938
7,87.57253509998554,168.307615800004,269.3018477000296,307.2869950000313,402.21905590000097,77.65944620000664,165.3033509000088,246.15262670000084,367.09767170000123,492.6369316999917,81.51687380002113,173.96021140000084,257.6225502999732,375.93776400003117,515.0393215999939
8,77.49477789999219,150.29511330003152,251.10237269999925,345.2701656999998,436.22386979998555,82.3944512999733,175.3935331000248,244.92631290003192,335.08269339997787,345.27137590001803,82.00137399998493,173.01086500001838,286.4590629999875,342.21984380000504,410.27799089998007
9,70.17078769998625,187.60311570001068,265.39845320000313,351.7046144999913,480.65730829996755,75.47531160002109,151.07406130002346,250.4223663000157,374.0576356999809,432.41990810004063,84.92092659999616,167.87262170005124,283.0061599999899,401.8581865999731,395.2026463999646
